Protein,Temperature (K), Dilute Phase Density (g/cm3), Dilute Phase Density StdErr (g/cm3),	Dense Phase Density (g/cm3), Dense Phase Density StdErr (g/cm3)
hTau40	315	0.00030981164386327981	0.00018016604234020255	0.60138103665320019608	0.00098876735682042216
hTau40	320	0.00001758073970636555	0.00000058992078857162	0.73311474916769547860	0.00229185361713653713
hTau40	325	0.00000656321913700197	0.00000016866561130693	0.80952362879212957925	0.00134273924031029241
hTau40	330	0.00000257268318759010	0.00000066348241042674	0.86427014985224248633	0.00221975988274151657
hTau40	335	0.00000032951643915568	0.00000013419226294473	0.89871410213967750646	0.00190110101020988403
ELF3	285	0.00272188607483602038	0.00025286380378022216	0.38747381839133487880	0.00469139289214272944
ELF3	290	0.00145596591609744447	0.00065069197928128064	0.42263441296735299035	0.00403000693524235322
ELF3	295	0.00050524350219297237	0.00010453386023256581	0.49757847474914396191	0.00040308095332508787
ELF3	300	0.00004865020573805013	0.00000872863991408666	0.57712918840010474231	0.00157718385369032092
Pab1	305	0.00221528213898160038	0.00088125702747500066	0.55341226713986468866	0.00128201798045165767
Pab1	310	0.00012002036397432219	0.00004509405223655539	0.63922153313320617674	0.00113176038575204781
Pab1	315	0.00000841469021892418	0.00000042492531223956	0.69858558832716111109	0.00037260936188173734
Pab1	320	0.00002277579140823386	0.00000275383823990631	0.74311688663356145756	0.00029502751107181752
Pab1	325	0.00000638394593839272	0.00000077676115649945	0.77617981006153435874	0.00032804015573911028
Pab1	330	0.00000217033748523902	0.00000039531407296148	0.80256965582956152350	0.00031688130591604069
